V4_3,Data Marking,Lower limit,Upper limit,yyyy-yy,Time,administrative-geography,Geography,measure-of-wellbeing,MeasureOfWellbeing,wellbeing-estimate,Estimate
7.86,,7.82,7.9,2016-17,2017,E12000005,West Midlands,worthwhile,Worthwhile,average-mean,Average (mean)
7.76,,7.72,7.8,2014-15,2015,E12000005,West Midlands,worthwhile,Worthwhile,average-mean,Average (mean)
7.84,,7.8,7.89,2019-20,2020,E12000005,West Midlands,worthwhile,Worthwhile,average-mean,Average (mean)
7.83,,7.79,7.88,2018-19,2019,E12000005,West Midlands,worthwhile,Worthwhile,average-mean,Average (mean)
7.63,,7.59,7.67,2012-13,2013,E12000005,West Midlands,worthwhile,Worthwhile,average-mean,Average (mean)
7.82,,7.78,7.86,2017-18,2018,E12000005,West Midlands,worthwhile,Worthwhile,average-mean,Average (mean)
7.72,,7.66,7.78,2020-21,2021,E12000005,West Midlands,worthwhile,Worthwhile,average-mean,Average (mean)
7.79,,7.75,7.83,2015-16,2016,E12000005,West Midlands,worthwhile,Worthwhile,average-mean,Average (mean)
7.91,,7.87,7.96,2015-16,2016,E12000004,East Midlands,worthwhile,Worthwhile,average-mean,Average (mean)
7.96,,7.9,8.01,2018-19,2019,E12000004,East Midlands,worthwhile,Worthwhile,average-mean,Average (mean)
7.75,,7.71,7.8,2013-14,2014,E12000004,East Midlands,worthwhile,Worthwhile,average-mean,Average (mean)
7.96,,7.9,8.01,2019-20,2020,E12000004,East Midlands,worthwhile,Worthwhile,average-mean,Average (mean)
7.92,,7.87,7.97,2016-17,2017,E12000004,East Midlands,worthwhile,Worthwhile,average-mean,Average (mean)
7.71,,7.66,7.76,2011-12,2012,E12000004,East Midlands,worthwhile,Worthwhile,average-mean,Average (mean)
7.75,,7.7,7.8,2012-13,2013,E12000004,East Midlands,worthwhile,Worthwhile,average-mean,Average (mean)
7.81,,7.76,7.86,2014-15,2015,E12000004,East Midlands,worthwhile,Worthwhile,average-mean,Average (mean)
7.92,,7.87,7.97,2017-18,2018,E12000004,East Midlands,worthwhile,Worthwhile,average-mean,Average (mean)
7.81,,7.75,7.87,2020-21,2021,E12000004,East Midlands,worthwhile,Worthwhile,average-mean,Average (mean)
7.72,,7.68,7.77,2013-14,2014,E12000003,Yorkshire and The Humber,worthwhile,Worthwhile,average-mean,Average (mean)
7.82,,7.78,7.86,2014-15,2015,E12000003,Yorkshire and The Humber,worthwhile,Worthwhile,average-mean,Average (mean)
7.7,,7.67,7.74,2012-13,2013,E12000003,Yorkshire and The Humber,worthwhile,Worthwhile,average-mean,Average (mean)
7.67,,7.61,7.73,2020-21,2021,E12000003,Yorkshire and The Humber,worthwhile,Worthwhile,average-mean,Average (mean)
7.9,,7.86,7.94,2016-17,2017,E12000003,Yorkshire and The Humber,worthwhile,Worthwhile,average-mean,Average (mean)
7.84,,7.79,7.88,2019-20,2020,E12000003,Yorkshire and The Humber,worthwhile,Worthwhile,average-mean,Average (mean)
7.89,,7.84,7.94,2017-18,2018,E12000003,Yorkshire and The Humber,worthwhile,Worthwhile,average-mean,Average (mean)
7.69,,7.65,7.73,2011-12,2012,E12000003,Yorkshire and The Humber,worthwhile,Worthwhile,average-mean,Average (mean)
7.85,,7.81,7.9,2015-16,2016,E12000003,Yorkshire and The Humber,worthwhile,Worthwhile,average-mean,Average (mean)
7.88,,7.84,7.92,2018-19,2019,E12000003,Yorkshire and The Humber,worthwhile,Worthwhile,average-mean,Average (mean)
7.88,,7.84,7.92,2016-17,2017,E12000009,South West,worthwhile,Worthwhile,average-mean,Average (mean)
7.76,,7.71,7.81,2020-21,2021,E12000009,South West,worthwhile,Worthwhile,average-mean,Average (mean)
7.78,,7.74,7.82,2011-12,2012,E12000009,South West,worthwhile,Worthwhile,average-mean,Average (mean)
7.89,,7.86,7.93,2015-16,2016,E12000009,South West,worthwhile,Worthwhile,average-mean,Average (mean)
7.93,,7.89,7.97,2019-20,2020,E12000009,South West,worthwhile,Worthwhile,average-mean,Average (mean)
7.76,,7.72,7.8,2012-13,2013,E12000009,South West,worthwhile,Worthwhile,average-mean,Average (mean)
7.78,,7.74,7.82,2013-14,2014,E12000009,South West,worthwhile,Worthwhile,average-mean,Average (mean)
7.92,,7.88,7.96,2017-18,2018,E12000009,South West,worthwhile,Worthwhile,average-mean,Average (mean)
7.92,,7.88,7.96,2018-19,2019,E12000009,South West,worthwhile,Worthwhile,average-mean,Average (mean)
7.86,,7.82,7.9,2014-15,2015,E12000009,South West,worthwhile,Worthwhile,average-mean,Average (mean)
