V4_1,Data Marking,calendar-years,Time,nuts,Geography,sic-unofficial,UnofficialStandardIndustrialClassification,type-of-prices,Prices,quarterly-index-and-growth-rate,GrowthRate
100,,2016,2016,UKG,West Midlands,A--T,A-T : Total,cvm,Chained Volume Measure,aix,Annual index
100,,2016,2016,UKF,East Midlands,A--T,A-T : Total,cvm,Chained Volume Measure,aix,Annual index
95.26325257,,2014,2014,UKH,East of England,A--T,A-T : Total,cvm,Chained Volume Measure,aix,Annual index
97.43918546,,2013,2013,UKC,North East,A--T,A-T : Total,cvm,Chained Volume Measure,aix,Annual index
97.34126922,,2015,2015,UKG,West Midlands,A--T,A-T : Total,cvm,Chained Volume Measure,aix,Annual index
100,,2016,2016,UKD,North West,A--T,A-T : Total,cvm,Chained Volume Measure,aix,Annual index
95.05042665,,2012,2012,UKE,Yorkshire and The Humber,A--T,A-T : Total,cvm,Chained Volume Measure,aix,Annual index
97.07903924,,2014,2014,UKE,Yorkshire and The Humber,A--T,A-T : Total,cvm,Chained Volume Measure,aix,Annual index
103.549127,,2018,2018,UKE,Yorkshire and The Humber,A--T,A-T : Total,cvm,Chained Volume Measure,aix,Annual index
103.9163415,,2018,2018,UKD,North West,A--T,A-T : Total,cvm,Chained Volume Measure,aix,Annual index
102.6661966,,2018,2018,UKF,East Midlands,A--T,A-T : Total,cvm,Chained Volume Measure,aix,Annual index
90.66777931,,2013,2013,UKI,London,A--T,A-T : Total,cvm,Chained Volume Measure,aix,Annual index
103.8488874,,2018,2018,UKI,London,A--T,A-T : Total,cvm,Chained Volume Measure,aix,Annual index
92.47731833,,2012,2012,UKF,East Midlands,A--T,A-T : Total,cvm,Chained Volume Measure,aix,Annual index
96.76628732,,2014,2014,UKF,East Midlands,A--T,A-T : Total,cvm,Chained Volume Measure,aix,Annual index
91.93394265,,2013,2013,UKG,West Midlands,A--T,A-T : Total,cvm,Chained Volume Measure,aix,Annual index
109.4639976,,2019,2019,UKI,London,A--T,A-T : Total,cvm,Chained Volume Measure,aix,Annual index
101.0256226,,2017,2017,UKJ,South East,A--T,A-T : Total,cvm,Chained Volume Measure,aix,Annual index
94.47868117,,2014,2014,UKG,West Midlands,A--T,A-T : Total,cvm,Chained Volume Measure,aix,Annual index
87.83733777,,2012,2012,UKI,London,A--T,A-T : Total,cvm,Chained Volume Measure,aix,Annual index
100.5897219,,2018,2018,UKC,North East,A--T,A-T : Total,cvm,Chained Volume Measure,aix,Annual index
106.139413,,2018,2018,UKH,East of England,A--T,A-T : Total,cvm,Chained Volume Measure,aix,Annual index
97.19069589,,2014,2014,UKK,South West,A--T,A-T : Total,cvm,Chained Volume Measure,aix,Annual index
97.27127947,,2015,2015,UKH,East of England,A--T,A-T : Total,cvm,Chained Volume Measure,aix,Annual index
91.74636437,,2013,2013,UKH,East of England,A--T,A-T : Total,cvm,Chained Volume Measure,aix,Annual index
96.20555267,,2015,2015,UKI,London,A--T,A-T : Total,cvm,Chained Volume Measure,aix,Annual index
95.04063328,,2013,2013,UKJ,South East,A--T,A-T : Total,cvm,Chained Volume Measure,aix,Annual index
103.8795295,,2019,2019,UKD,North West,A--T,A-T : Total,cvm,Chained Volume Measure,aix,Annual index
97.91617948,,2012,2012,UKC,North East,A--T,A-T : Total,cvm,Chained Volume Measure,aix,Annual index
101.4294979,,2019,2019,UKC,North East,A--T,A-T : Total,cvm,Chained Volume Measure,aix,Annual index
100,,2016,2016,UKJ,South East,A--T,A-T : Total,cvm,Chained Volume Measure,aix,Annual index
100,,2016,2016,UKE,Yorkshire and The Humber,A--T,A-T : Total,cvm,Chained Volume Measure,aix,Annual index
104.0008923,,2019,2019,UKG,West Midlands,A--T,A-T : Total,cvm,Chained Volume Measure,aix,Annual index
