V4_3,Data Marking,Lower limit,Upper limit,yyyy-yy,Time,administrative-geography,Geography,measure-of-wellbeing,MeasureOfWellbeing,wellbeing-estimate,Estimate
7.75,,7.7,7.79,2018-19,2019,E12000006,East of England,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.67,,7.62,7.71,2015-16,2016,E12000006,East of England,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.73,,7.68,7.77,2017-18,2018,E12000006,East of England,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.55,,7.5,7.59,2013-14,2014,E12000006,East of England,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.66,,7.62,7.7,2014-15,2015,E12000006,East of England,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.74,,7.7,7.79,2016-17,2017,E12000006,East of England,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.71,,7.66,7.76,2019-20,2020,E12000006,East of England,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.47,,7.42,7.53,2020-21,2021,E12000006,East of England,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.49,,7.44,7.53,2012-13,2013,E12000006,East of England,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.57,,7.53,7.61,2014-15,2015,E12000005,West Midlands,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.62,,7.58,7.67,2015-16,2016,E12000005,West Midlands,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.49,,7.45,7.53,2013-14,2014,E12000005,West Midlands,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.7,,7.66,7.74,2018-19,2019,E12000005,West Midlands,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.43,,7.38,7.47,2012-13,2013,E12000005,West Midlands,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.67,,7.62,7.71,2017-18,2018,E12000005,West Midlands,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.67,,7.63,7.71,2016-17,2017,E12000005,West Midlands,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.67,,7.62,7.71,2019-20,2020,E12000005,West Midlands,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.28,,7.23,7.32,2011-12,2012,E12000005,West Midlands,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.39,,7.33,7.46,2020-21,2021,E12000005,West Midlands,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.5,,7.45,7.54,2012-13,2013,E12000004,East Midlands,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.44,,7.37,7.5,2020-21,2021,E12000004,East Midlands,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.74,,7.69,7.79,2015-16,2016,E12000004,East Midlands,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.47,,7.42,7.52,2011-12,2012,E12000004,East Midlands,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.74,,7.68,7.79,2019-20,2020,E12000004,East Midlands,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.76,,7.7,7.81,2018-19,2019,E12000004,East Midlands,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.55,,7.5,7.59,2013-14,2014,E12000004,East Midlands,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.64,,7.59,7.69,2014-15,2015,E12000004,East Midlands,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.72,,7.67,7.77,2017-18,2018,E12000004,East Midlands,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.73,,7.68,7.78,2016-17,2017,E12000004,East Midlands,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.39,,7.35,7.43,2011-12,2012,E12000003,Yorkshire and The Humber,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.65,,7.61,7.69,2015-16,2016,E12000003,Yorkshire and The Humber,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.66,,7.62,7.71,2017-18,2018,E12000003,Yorkshire and The Humber,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.63,,7.59,7.68,2019-20,2020,E12000003,Yorkshire and The Humber,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.55,,7.51,7.59,2014-15,2015,E12000003,Yorkshire and The Humber,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.7,,7.65,7.74,2018-19,2019,E12000003,Yorkshire and The Humber,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.51,,7.47,7.55,2013-14,2014,E12000003,Yorkshire and The Humber,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.46,,7.42,7.5,2012-13,2013,E12000003,Yorkshire and The Humber,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.32,,7.26,7.37,2020-21,2021,E12000003,Yorkshire and The Humber,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.69,,7.65,7.74,2016-17,2017,E12000003,Yorkshire and The Humber,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.73,,7.7,7.77,2015-16,2016,E12000009,South West,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.56,,7.52,7.6,2013-14,2014,E12000009,South West,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.76,,7.72,7.79,2017-18,2018,E12000009,South West,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.53,,7.48,7.57,2011-12,2012,E12000009,South West,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.55,,7.51,7.59,2012-13,2013,E12000009,South West,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.66,,7.62,7.7,2014-15,2015,E12000009,South West,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.5,,7.45,7.54,2020-21,2021,E12000009,South West,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.75,,7.71,7.79,2019-20,2020,E12000009,South West,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.77,,7.73,7.81,2018-19,2019,E12000009,South West,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.76,,7.72,7.79,2016-17,2017,E12000009,South West,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
